id,name,type,categ_id,default_code,barcode,list_price,standard_price,weight,description,image_1920,image,Extra Product Media/Name
27,BMW 5 Series 540i / 545i / 550i / 535D Sedan E60 2003-2010 – Lowering Springs – Front: 50 / Rear: 50,GOODS,Lowering Springs,,,199.99,0,0.01,BMW 5 SERIES 540i/545i/550i/535D SEDAN E60 07/2003-03/2010,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
28,Audi A4 Sedan 1.8 TFSI | 2.0 TFSI | 2.0 TDI B8 – Lowering Springs – Front 40mm – Rear 35mm,GOODS,Lowering Springs,,,209.99,0,0.01,Audi A4 Sedan 1.8TFSI/2.0TFSI/2.0TDI - B8 - 11/2007+,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
29,Alfa 159 1.9JTS | 2.2JTS | 1.9JTDM | 2.0JTDM | 1.8MPI | 1.8TBI 939 – Lowering Springs – Front 25mm Rear 20mm,GOODS,Lowering Springs,,,199.99,0,0.01,Alfa 159 1.9jTS/2.2jTS/1.9jTDM/2.0jTDM/1.8MPI/1.8TBI - 939 - 2005 to 10/2012,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
30,Seat Leon 2.0TSI Cupra Hatchback+Sc 5F 2013+ – Lowering Springs – Front: 20 / Rear: 20,GOODS,Lowering Springs,,,179.99,0,0.01,SEAT LEON 2.0TSI CUPRA HATCHBACK+SC 5F 10/2013-,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
31,Seat Ibiza 1.0TSI/1.5TSI Hatchback Kj 2017+ – Lowering Springs – Front: 45 / Rear: 45,GOODS,Lowering Springs,,,159.99,0,0.01,SEAT IBIZA 1.0TSI/1.5TSI HATCHBACK Kj 01/2017-,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
32,Mercedes A Class A220 / A250 W177 2018+ – Lowering Springs – Front: 20 / Rear: 25,GOODS,Lowering Springs,,,169.99,0,0.01,MERCEDES BENZ A-CLASS A220/A250 W177 03/2018-,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
33,BMW 1 Series 118i Hatchback F40 19-24 – Lowering Springs – Front: 30 / Rear: 25,GOODS,Lowering Springs,,,159.99,0,0.01,BMW 1 Series F40 118i M Sport 2019-2024,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
34,BMW 5 Series 525D/530D/535I Sedan E60 2003-2010 – Lowering Springs – Front: 50 / Rear: 50,GOODS,Lowering Springs,,,199.99,0,0.01,"Fitment BMW 5 SERIES 525D/530D/535i SEDAN E60 07/2003-03/2010 Important Notes: j2,""",https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
35,BMW 2 Series 218I/220I Cabrio F23 2014+ – Lowering Springs – Front: 30 / Rear: 30,GOODS,Lowering Springs,,,169.99,0,0.01,BMW 2 SERIES 218i/220i CABRIO F23 03/2014-,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
36,VW Jetta IV 2.0TSI | 1.6TDI | 2.0TDI 16 – Lowering Springs – Front 40mm – Rear 40mm,GOODS,Lowering Springs,,,179.99,0,0.01,VW jETTA IV 2.0TSI/1.6TDI/2.0TDI - 16 - 10/2010+,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
