title,category,price,description,images,url
VW Polo 1.0(70PK) | 1.2 | 1.4 | 1.2Ts Manual Gear 6R – Lowering Springs – Front 50mm – Rear 50mm,Lowering Springs,159.99,VW POLO 1.0(70PK)/1.2/1.4/1.2TS MANUAL GEAR - 6R - 06/2009+,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/lowering-springs/vw-polo-1-0-70pk-1-2-1-4-1-2ts-manual-gear-6r-lowering-springs-front-50mm-rear-50mm/
Volvo S60 MK1 00-10 Lowering Springs – Front 35mm – Rear 25mm,Lowering Springs,229.99,VOLVO S60 (all engine types) lowering T5 = 25MM - S60 - 10/2000 to 04/2010,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/lowering-springs/volvo-s60-mk1-00-10-lowering-springs-front-35mm-rear-25mm/
Volvo V40 T5 | D3 | D4 M – Lowering Springs – Front 25mm – Rear 35mm,Lowering Springs,159.99,VOLVO V40 T5/D3/D4 - M - 07/2012+,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/lowering-springs/volvo-v40-t5-d3-d4-m-lowering-springs-front-25mm-rear-35mm/
VW New Beetle Cabriolet 1.8T | 2.0 | 1.9TDI 1Y7 – Lowering Springs – Front 35mm – Rear 35mm,Lowering Springs,199.99,VW NEW BEETLE CABRIOLET 1.8T/2.0/1.9TDI - 1Y7 - 09/2002 to 10/2010,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/lowering-springs/vw-new-beetle-cabriolet-1-8t-2-0-1-9tdi-1y7-lowering-springs-front-35mm-rear-35mm/
VW Passat Sedan 1.8T Aut. | 1.9TDI Aut. | 2.3 V5 No Aut. 3Bg – Lowering Springs – Front 30mm – Rear 30mm,Lowering Springs,199.99,VW PASSAT SEDAN 1.8T AUT./1.9TDI AUT./2.3 V5 NO AUT. - 3BG - 11/2000 to 2005,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/lowering-springs/vw-passat-sedan-1-8t-aut-1-9tdi-aut-2-3-v5-no-aut-3bg-lowering-springs-front-30mm-rear-30mm/
VW Passat 1.4TSI | 1.8TSI | 2.0Fsi | 2.0TSI | 1.6TDI | 1.9TDI 3C – Lowering Springs – Front 30mm – Rear 30mm,Lowering Springs,179.99,VW PASSAT 1.4TSI/1.8TSI/2.0FSI/2.0TSI/1.6TDI/1.9TDI - 3C - 2005 to 11/2010,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/lowering-springs/vw-passat-1-4tsi-1-8tsi-2-0fsi-2-0tsi-1-6tdi-1-9tdi-3c-lowering-springs-front-30mm-rear-30mm/
Volvo V40 T5 | D3 | D4 M – Lowering Springs – Front 35mm – Rear 45mm,Lowering Springs,179.99,VOLVO V40 T5/D3/D4 - M - 07/2012+,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/lowering-springs/volvo-v40-t5-d3-d4-m-lowering-springs-front-35mm-rear-45mm/
VW Scirocco 1.4TSI(122PK) – Lowering Springs – Front 35mm – Rear 35mm,Lowering Springs,179.99,VW SCIROCCO 1.4TSI(122PK) - 09/2008+,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/lowering-springs/vw-scirocco-1-4tsi-122pk-lowering-springs-front-35mm-rear-35mm/
VW Polo 1.2TSI Automatic Gear | 1.2TDI | 1.4TDI | 1.6TDI 6R – Lowering Springs – Front 35mm – Rear 40mm,Lowering Springs,159.99,VW POLO 1.2TSI AUTOMATIC GEAR/1.2TDI/1.4TDI/1.6TDI - 6R - 06/2009+,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/lowering-springs/vw-polo-1-2tsi-automatic-gear-1-2tdi-1-4tdi-1-6tdi-6r-lowering-springs-front-35mm-rear-40mm/
VW Scirocco 1.4TSI(160PK) | 2.0TSI | 2.0TDI 13 – Lowering Springs – Front 25mm – Rear 25mm,Lowering Springs,179.99,VW SCIROCCO 1.4TSI(160PK)/2.0TSI/2.0TDI - 13 - 09/2008+,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/lowering-springs/vw-scirocco-1-4tsi-160pk-2-0tsi-2-0tdi-13-lowering-springs-front-25mm-rear-25mm/
